,Pitch Type,stand,Number of Pitches
0,ALL,ALL,716790.0
1,ALL,RHB,419143.0
2,ALL,LHB,297647.0
3,FF,ALL,255922.0
4,FF,RHB,146111.0
5,FF,LHB,109811.0
6,SL,ALL,108920.0
7,SL,RHB,72263.0
8,SL,LHB,36657.0
9,CU,ALL,55564.0
10,CU,RHB,31643.0
11,CU,LHB,23921.0
12,CH,ALL,74929.0
13,CH,RHB,38433.0
14,CH,LHB,36496.0
15,FS,ALL,10397.0
16,FS,RHB,4280.0
17,FS,LHB,6117.0
18,SI,ALL,142256.0
19,SI,RHB,84691.0
20,SI,LHB,57565.0
21,ST,ALL,3794.0
22,ST,RHB,2602.0
23,ST,LHB,1192.0
24,KC,ALL,20587.0
25,KC,RHB,11294.0
26,KC,LHB,9293.0
27,FC,ALL,41985.0
28,FC,RHB,26429.0
29,FC,LHB,15556.0
30,SV,ALL,1626.0
31,SV,RHB,933.0
32,SV,LHB,693.0
33,FA,ALL,211.0
34,FA,RHB,122.0
35,FA,LHB,89.0
